player_id,name,elo_overall,elo_hard,elo_clay,elo_grass,total_matches
106296,Gregoire Barrere,1611.6,1521.6,1487.8,1502.4,101
105023,Sam Querrey,1611.5,1514.6,1569.5,1636.9,718
202058,Thiago Agustin Tirante,1610.9,1505.4,1602.3,1500.0,17
105550,Guido Pella,1610.3,1592.4,1546.1,1499.3,281
105558,Guillaume Rufin,1610.2,1559.6,1494.5,1483.5,44
102845,Carlos Moya,1610.0,1622.1,1631.2,1511.4,585
126555,Tung Lin Wu,1609.9,1586.9,1500.0,1500.0,14
104965,Pavol Cervenak,1609.3,1481.3,1581.1,1500.0,12
104327,Steve Darcis,1608.3,1593.0,1564.0,1517.5,256
104586,Lukas Rosol,1608.2,1545.5,1616.6,1462.8,284
104292,Izak Van Der Merwe,1607.4,1562.2,1478.7,1510.1,32
122533,Nam Hoang Ly,1607.3,1633.2,1472.6,1500.0,10
104719,Marcel Granollers,1606.3,1487.2,1572.4,1548.3,453
202261,Otto Virtanen,1606.2,1550.0,1454.4,1514.7,26
106071,Bernard Tomic,1605.6,1622.0,1410.8,1604.3,371
202320,Beibit Zhukayev,1604.5,1580.7,1500.0,1500.0,9
102854,Sjeng Schalken,1604.3,1594.7,1522.1,1677.7,322
101885,Wayne Arthurs,1604.3,1578.7,1453.0,1529.2,259
103752,Simon Greul,1604.1,1533.3,1531.0,1448.7,117
104460,Dustin Brown,1603.5,1516.9,1501.4,1530.8,161
101774,Todd Martin,1603.1,1583.4,1497.1,1574.0,146
102644,Franco Squillari,1602.9,1527.7,1574.2,1436.3,206
104735,Tobias Kamke,1602.5,1538.4,1541.1,1519.3,166
106281,Liam Broady,1602.3,1592.8,1479.2,1422.9,56
104604,Ruben Gonzales,1601.6,1459.1,1657.5,1500.0,15
209209,Filip Misolic,1601.5,1504.2,1565.5,1500.0,18
103096,Arnaud Clement,1601.2,1555.0,1506.8,1526.5,541
207797,Jonas Forejtek,1601.0,1598.9,1500.0,1500.0,4
106233,Dominic Thiem,1600.9,1662.9,1613.4,1513.5,566
105657,Marius Copil,1600.9,1623.9,1408.2,1463.1,158
208363,Mariano Navone,1600.8,1467.7,1674.5,1426.8,42
105051,Matthew Ebden,1600.7,1582.7,1385.5,1506.2,208
104651,Martin Alund,1600.5,1500.0,1583.4,1485.0,17
104631,Harshana Godamanna,1600.2,1583.9,1571.3,1500.0,19
104386,Janko Tipsarevic,1598.6,1588.2,1573.8,1528.7,550
126149,Gianluca Mager,1598.0,1509.7,1576.4,1505.0,59
103581,Flavio Saretta,1597.6,1499.0,1612.4,1503.5,157
103387,Paradorn Srichaphan,1597.2,1609.4,1326.4,1543.7,418
104655,Pablo Cuevas,1597.1,1529.5,1578.6,1465.7,464
108593,Wing Luen Wong,1597.1,1598.3,1500.0,1500.0,13
103337,Ben Qiang Zhu,1596.9,1567.8,1500.0,1571.5,24
127760,Lukas Klein,1596.9,1521.9,1511.1,1458.6,30
133975,Benjamin Hassan,1596.7,1489.4,1615.4,1500.0,25
103325,Wesley Moodie,1596.1,1581.6,1458.8,1505.2,128
105649,Cedrik Marcel Stebe,1596.0,1519.9,1617.1,1433.3,82
104068,Robby Ginepri,1595.7,1529.3,1498.7,1479.3,393
104471,Ivan Dodig,1594.9,1482.1,1625.9,1581.5,258
102277,Bing Chao Lin,1594.9,1534.9,1564.0,1500.0,3
124079,Pedro Martinez,1594.4,1517.4,1615.9,1448.3,159
103451,Bjorn Phau,1594.2,1542.1,1521.7,1372.7,212
101320,Magnus Gustafsson,1594.0,1548.4,1600.8,1523.0,68
105430,Radu Albot,1593.4,1582.0,1544.4,1420.7,255
102456,Felix Mantilla,1593.3,1483.8,1629.2,1436.6,243
209284,Elmer Moller,1593.3,1558.4,1530.4,1500.0,6
126106,Ryan Peniston,1592.9,1460.8,1500.0,1498.3,13
200514,Jurij Rodionov,1592.3,1526.2,1512.0,1458.4,44
103990,Tommy Robredo,1592.3,1655.5,1549.1,1550.3,892
106249,Joao Domingues,1592.1,1515.4,1537.0,1500.0,14
104167,Todd Widom,1591.7,1566.0,1500.0,1500.0,10
102703,Hyung Taik Lee,1591.7,1591.8,1573.1,1511.7,302
106075,Jozef Kovalik,1591.3,1497.4,1565.8,1453.7,81
104025,Amer Delic,1591.3,1605.4,1454.8,1454.2,89
103739,Jose De Armas,1591.2,1616.2,1511.6,1500.0,31
105554,Daniel Evans,1591.0,1589.6,1485.4,1463.8,335
101965,Wayne Ferreira,1590.7,1534.4,1579.5,1562.2,224
209080,Blaise Bicknell,1590.7,1626.0,1461.3,1500.0,9
103590,Michael Quintero,1590.5,1495.6,1586.3,1500.0,12
110685,G D Jones,1590.5,1580.0,1500.0,1500.0,10
105385,Donald Young,1590.5,1570.5,1396.5,1504.3,316
208230,Alibek Kachmazov,1589.0,1557.8,1500.0,1500.0,9
106361,Adam Pavlasek,1589.0,1423.7,1560.3,1525.8,15
